Tweets,isLiterary
@danielmaran0 you can use a app that tells you who is not following you. i use unfollower stats.,True
"✨ stolen kiss

deeznutstk would kiss you around the corner... 😏
and you, who would do it?

➡️ https://t.co/lldpeq5vsy https://t.co/7dctbshn7c",True
"“there are two different kinds of ninja. those like you who are born with a natural talent &amp; do not have to work at it &amp; those like me! the ones who have to train everyday of our lives!” - rock lee 

new drip from @hypland 🥷🏽 https://t.co/t19o1bkav8",True
"@thereidout @jrubinblogger they have literally said they would prefer to die than compromise with democrats. 

when someone shows you who they are, believe them.",True
"✨ stolen kiss

kr1shieiji would kiss you around the corner... 😏
and you, who would do it?

➡️ https://t.co/frxft3os5h https://t.co/l2yzegfk08",True
"annie, jesus said come to me all you who are heavy laden ( depressed) and i will give you rest. lay your burdens on him, he loves you because you are his precious child. god give you peace! https://t.co/fgwjorb51y",True
"unlike you, who have to go through 'marriage' to acquire his last name, i will obtain his last name by slaying him on the top of a mountain and taking it for my own",True
"i just realized something... if you live with a roommate who keeps letting some asshole live with you who keeps stealing from him and moving back in over and over, you can basically steal whatever you want. everything in the house now belongs to you.",True
"@rwmalonemd we are living in sad times, but thank god we have scientist like you who stand behind their convictions!",True
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year kaw4gar1 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/gaqoujszbp https://t.co/pvthwvvvkm",True
"@mixedracemagic @britnidwrites @sincerelytops so. why do i get to gate keep an identity that had always included a wide range of skin tones?

simply because you who admits or at least says you don't present as black, believe anyone with mixed race should be excluded. https://t.co/vzieagmych",True
"@anoepiphany now ur saying that, ur really desperate to find ways to slander them. they will grow even more. their growth isnt in a fast pace, but one day more people will recognize their talent and music. ig unlike you who's jobless with no life",False
"this from the man who tells you who you can have in your own home. 
another rules for thee but not for me ruler right here. https://t.co/4kkuft7ezy",True
@caroljsroth it’s people like you who keep most of us on @twitter.,True
"✨ stolen kiss

henry_stickmin_ would kiss you around the corner... 😏
and you, who would do it?

➡️ https://t.co/qgrxzg94k2 https://t.co/sge4qqscgz",True
@ratattatattata2 i think its you who ned a brain.. im literally trying to explain to you and giving you both sides of the story with those threads but just cant seem to read it 🤷‍♀️ im not gonna argue with someone who cant give me facts and points. keep it up defending yd!! goodluck tho,True
"@activatelearn yes. and while it's galling to a lot of us, it must have an extra flavour for someone like you who did serve.",True
"getting your covid-19 vaccine isn’t just about keeping you healthy; it’s also about protecting everyone around you who could become very sick from covid-19.

get your vaccine: https://t.co/jfsppsuycx. https://t.co/gxgv1dcslk",True
"as if it’s been promised, i mumble by myself in front of you, who can’t hear
i want to go to you",False
"when someone shows you who they are, believe them the first time.",True
"@varianttiresias @arizona_bonnie @anthonyzenkus @ibaraeleven @senschumer @adelphiu @columbia don't be stupid. i don't think either is worth losing sleep over. it's people like you who are convinced that this is something beause people like zenkus-no friend to women at all-tell you nonsense. children don't like adults, no crime.",True
"a bad job ruins good employees, and with that companies wonder why they have a hard time finding employees. who’d you trust when asking about a job ? someone who’s worked there or the people trying to hire you? who knows the cons and who’s the con artist?  

just some thoughts.",True
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year _charles_calvin 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/bevpy2pdta https://t.co/ole6nbffgy",True
"@sunshin00252093 @hollywo30274033 @molejoels14 @maajidnawaz don’t forget to fight for the freedom of the nurses and doctors you expect to care for you, who will be exposed to high viral loads of covid every day. for australian healthcare workers, their struggle may only just be beginning if we don’t get high vaccination rates.",True
"@boboog1 it’s called brotherly love, if i nor care fr you who will?",False
@patriottakes well he can ride a bike &amp; run unlike you who couldn’t even walk down a ramp,False
"@beloved_june maybe it’ll happen for you, who knows.  i’m 10-11 years in and really starting to have fun in life.",False
"@marinasmigielsk yeah.....so cool... good for you, who gives a shit, you didn't provide any proof.... just gave some silly made up titles for crazy liberals...",True
"@laurenboebert hey bobo, the people that want to come here could make significant contributions to our country as previous immigrants have. of course, there are exceptions to this, e.g., people like you who are very unproductive.",True
"de: anônimo 
para: @siipipoca 

i say it's you who wipe my tears and brings the light into my darkness",True
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year thenotorioushrt 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/4adkmcfbsr https://t.co/2z2neq1byl",True
"“come to me all you who are weary and burdened and i will give you rest. take my yoke upon you and learn from me for i am gentle and humble of heart and you will find rest for your souls. for my yoke is easy and my burden is light.”
- matthew 11:28-30",True
@engelsfreddie @sethrogen does that mean you’re a moron for trying to correct someone on social media only to find out that it’s you who doesn’t know what they’re talking about?  maybe actually use your brain before trying to be “smart” next time lol…,False
"@beakemi sometimes it's hard to open up to people. they might listen but (some of them) will not understand (the pain).

but it's always great to know that there are still people like you who are willing to listen. that's a huge help. 😊",True
"@luvyouneighbor @johnpavlovitz i am a christian, you're lying again.  i rebuke homophobes, people like you who do not follow christ's teachings on anything.  you are lying again.  don't you know that telling lies is a sin?",True
the stars would be so proud to know that their atoms created someonelike you who manages to complement you in every way,True
"✨ stolen kiss

bananabiemilk would kiss you around the corner... 😏
and you, who would do it?

➡️ https://t.co/o7jscjon46 https://t.co/5asohhubj9",True
"“when someone shows you who they are, believe them the first time.” right @govstitt?

https://t.co/rluambbuhn",True
"✨ stolen kiss

sebhersey would kiss you around the corner... 😏
and you, who would do it?

➡️ https://t.co/a2zvqsgios https://t.co/fyosjtqbus",True
